call_ID,round number,salesperson talking time,SP pause,total round pauses,customer talking time,crosstalk1,crosstalk2,crosstalk3,crosstalk4,crosstalk5
00T6000005aR3U0EAK.txt,1,00:03.914,00:00.424,00:01.707,00:00.532,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR3U0EAK.txt,2,00:16.264,00:00.990,00:02.941,00:02.194,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR3U0EAK.txt,3,00:11.316,00:00.956,00:01.199,00:01.939,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR3U0EAK.txt,4,00:04.168,00:00.458,00:01.006,00:04.479,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR3U0EAK.txt,5,00:19.397,00:00.520,00:01.165,00:00.679,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR3U0EAK.txt,6,00:04.490,00:00.209,00:00.984,00:00.866,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR3U0EAK.txt,7,00:00.452,00:00.004,00:00.866,00:00.769,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR3U0EAK.txt,8,00:00.646,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR5VLEA0.txt,1,00:11.604,00:00.605,00:00.993,00:08.879,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR5VLEA0.txt,2,00:00.428,00:00.329,00:00.025,00:06.377,00:01.201,00:00.000,00:00.524,00:00.000,00:00.000,
00T6000005aR5VLEA0.txt,3,00:02.288,00:00.416,00:00.866,00:08.100,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR5VLEA0.txt,4,00:00.323,00:00.436,00:00.328,00:01.517,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR5VLEA0.txt,5,00:01.732,00:00.664,00:00.040,00:00.188,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR5VLEA0.txt,6,00:00.302,00:00.406,00:00.128,00:02.184,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR5VLEA0.txt,7,00:00.275,00:00.255,00:00.000,00:09.154,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR5VLEA0.txt,8,00:07.661,00:00.031,00:00.044,00:01.093,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aR5VLEA0.txt,9,00:02.859,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRCT4EAO.txt,1,00:00.525,00:00.534,00:01.457,00:01.242,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRCT4EAO.txt,2,00:03.517,00:00.722,00:01.742,00:00.308,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRCT4EAO.txt,3,00:18.852,00:00.539,00:01.348,00:02.569,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRCT4EAO.txt,4,00:04.292,00:00.000,00:00.491,00:00.183,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRmjqEAC.txt,1,00:00.566,00:00.748,00:00.523,00:00.469,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRmjqEAC.txt,2,00:02.684,00:00.642,00:00.492,00:00.454,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRmjqEAC.txt,3,00:19.789,00:01.089,00:00.673,00:01.247,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRmjqEAC.txt,4,00:02.268,00:00.612,00:00.779,00:01.256,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRmjqEAC.txt,5,00:01.210,00:00.424,00:00.325,00:04.325,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRmjqEAC.txt,6,00:01.414,00:00.257,00:00.756,00:03.538,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRmjqEAC.txt,7,00:02.564,00:00.552,00:00.748,00:05.414,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRmjqEAC.txt,8,00:01.384,00:00.454,00:00.567,00:01.074,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRmjqEAC.txt,9,00:02.359,00:00.393,00:00.582,00:00.537,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aRmjqEAC.txt,10,00:01.512,00:00.000,00:00.877,00:00.613,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
